latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
30.17332,-108.38876,300.39,1.6,1.25,2025-03-25,0947,A,26,6.1NRT,280.83,15.57,N
28.7905,-100.53649,305.56,1.21,1.09,2025-03-25,0947,A,65,6.1NRT,292.21,8.78,N
28.78848,-100.52467,303.28,1.21,1.09,2025-03-25,0947,A,54,6.1NRT,292.44,7.01,N
24.30961,-106.27596,315.55,1.06,1.03,2025-03-25,0949,A,91,6.1NRT,289.46,15.44,N
24.30809,-106.26524,308.07,1.06,1.03,2025-03-25,0949,A,40,6.1NRT,287.73,9.32,N
24.30665,-106.25508,317.92,1.06,1.03,2025-03-25,0949,A,96,6.1NRT,287.09,17.84,N
24.30067,-106.27771,307.98,1.06,1.03,2025-03-25,0949,A,13,6.1NRT,289.2,8.5,N
23.2268,-105.80013,303.77,1.02,1.01,2025-03-25,0949,A,57,6.1NRT,292.64,6.27,N
22.74158,-105.07909,310.45,1,1,2025-03-25,0949,A,80,6.1NRT,285.74,12.92,N
21.26294,-104.54701,316.77,1.02,1.01,2025-03-25,0949,A,94,6.1NRT,283.55,18.14,N
21.26147,-104.53756,307.61,1.02,1.01,2025-03-25,0949,A,72,6.1NRT,281.23,10.91,N
20.5822,-101.16865,301.98,1.51,1.21,2025-03-25,0949,A,46,6.1NRT,286.26,12.42,N
19.88035,-100.75094,306.7,1.67,1.27,2025-03-25,0949,A,69,6.1NRT,281.07,22.79,N
20.30984,-105.45689,316.46,1,1,2025-03-25,0949,A,93,6.1NRT,293.81,14.36,N
20.29792,-105.49692,304.35,1,1,2025-03-25,0949,A,60,6.1NRT,289.48,7.01,N
19.9408,-103.22417,305.19,1.17,1.08,2025-03-25,0949,A,63,6.1NRT,280.35,12.65,N
20.27197,-105.44408,309.43,1,1,2025-03-25,0949,A,35,6.1NRT,289.76,9.09,N
20.27057,-105.43481,308.1,1,1,2025-03-25,0949,A,23,6.1NRT,288.64,8.4,N
20.24772,-105.34347,302.48,1,1,2025-03-25,0949,A,43,6.1NRT,289.24,5.28,N
20.24631,-105.33418,321.25,1,1,2025-03-25,0949,A,100,6.1NRT,292.48,19.81,N
20.23753,-105.33562,306.22,1,1,2025-03-25,0949,A,67,6.1NRT,291.27,8.2,N
20.24848,-105.46704,303.7,1,1,2025-03-25,0949,A,56,6.1NRT,288.28,7.44,N
19.74156,-102.69526,304.39,1.25,1.11,2025-03-25,0949,A,60,6.1NRT,284.29,11.47,N
20.11302,-105.18167,304.52,1.01,1,2025-03-25,0949,A,56,6.1NRT,292.2,6.64,N
20.1116,-105.17242,309.29,1.01,1,2025-03-25,0949,A,77,6.1NRT,292.69,9.54,N
19.00584,-99.07793,306.95,2.32,1.47,2025-03-25,0949,A,70,6.1NRT,286.57,33.13,N
19.00155,-99.05506,320.6,2.33,1.48,2025-03-25,0949,A,100,6.1NRT,286.95,70.64,N
19.4171,-155.28618,303.33,1,1,2025-03-25,1306,A,54,6.1NRT,289.57,7.82,N
